miRNA,normal_mean,tumor_mean,log2FC,pvalue,stat,padj
MIMAT0000461,6.303714285714285,4.501857412398922,-0.48568178353267477,7.357426243552446e-22,9.608554940777783,
MIMAT0000462,0.4514026315789474,0.668375,0.5662429424720122,,,
MIMAT0000510,8.35208163265306,8.656498652291106,0.05164779434504263,0.0474578700367193,-1.9821909782043694,
MIMAT0000617,5.5667755102040815,5.502938005390835,-0.016639829470971534,0.10597410089432029,1.6165562557560587,
MIMAT0000646,7.387816326530612,7.40589218328841,0.0035255476156828003,0.7940321888904096,0.261078217912578,
MIMAT0000680,7.349142857142858,7.989582210242588,0.12054406816458352,4.065883811051421e-10,-6.251477232271203,
MIMAT0000681,12.061632653061224,10.603404312668465,-0.18589767390693845,1.8454880883956255e-21,9.51338973904466,
MIMAT0000682,5.660061224489796,4.372950543478261,-0.37221062653230197,,,
MIMAT0000685,0.3093916666666667,0.578240606060606,0.9022355844899935,,,
MIMAT0000686,0.448912,1.2326432258064515,1.4572507219289084,,,
MIMAT0000687,0.7445255813953487,0.9090682539682539,0.2880671981283226,,,
MIMAT0000688,2.037040816326531,2.776702964959568,0.44689796656960645,2.999005850956286e-08,-5.541494740393833,
MIMAT0000689,13.39469387755102,13.172283018867926,-0.024156195155799587,0.07841965137302633,1.759930145209249,
MIMAT0000690,1.7890612244897959,1.7838417910447761,-0.0042150912415728214,,,
MIMAT0000691,3.917020408163266,4.54767115902965,0.2153712921533788,9.977853759407882e-05,-3.8911297945483754,
MIMAT0000692,13.709795918367346,13.084528301886793,-0.06734517949856533,1.804291113323504e-11,6.721042372401739,
MIMAT0000693,13.924081632653063,12.700700808625337,-0.13267407199744508,3.05330188524917e-22,9.698711447682845,
MIMAT0000703,8.091795918367346,8.308380053908357,0.03810727711003681,0.007494866297284627,-2.674016951330026,
MIMAT0000705,3.7892857142857146,4.472611859838275,0.23919164050210573,1.9120504990097905e-05,-4.2749210357484,
